line,label
D$@H,1
D$pD,1
D$0I9,1
D$8L,1
D$HJ,1
D$XM,1
D$XL,1
D$HE3,1
D$HL,1
D$hH,1
D$hL,1
D$PI,1
D$pM,1
D$0H;,1
D$@1,1
D$PM,1
D$TA,1
D$(A,1
D$(I,1
D$(I9G,1
D$(E3,1
T$PH,1
T$PD,1
T$TH,1
T$XL,1
T$XH,1
T$WH,1
T$ L,1
T$0I,1
T$0E9,1
T$HH,1
T$PI,1
T$pM,1
T$@E,1
L$@H,1
L$PL,1
L$0D,1
L$XM,1
L$XH,1
L$@L,1
L$PA,1
L$`H,1
L$hH,1
L$hI,1
L$HL,1
L$ M,1
|$0A,1
|$XH,1
|$LA,1
|$0L,1
|$pI,1
|$@H,1
|$8H,1
|$PH,1
l$@H,1
l$PL,1
l$`H,1
l$PH,1
l$(H,1
l$ H,1
\$8H,1
\$PI,1
\$P3,1
\$HH,1
\$8I,1
\$0H,1
\$(@,1
A_A^A\,1
A_A^A]A\_,1
A_A^_,1
 [^_]A\,1
[^_]A\A^A_,1
([^_]A\A],1
P[^_]A\A]A^,1
8[^_]A\A],1
AVWVSH,1
ATSH,1
@SVWH,1
AUATUWVSH,1
@SUVWAVH,1
UVWH,1
UAVAWH,1
UATAUAVAWH,1
AVAUATWVSH,1
UWAVH,1
spwwwwsssss0UUUUUUUUU77770wwwws77770UUUUUUUUU7ssspw,1
dddddddddddddddddddddddddddd,1
33333,1
3330,1
33333333333333333333333333333332,1
3333333333333333333333333333333331,1
333333333333333332,1
";*3$"",1
"",><:""""",1
~ggg,1
G+;',1
K376Z,1
YFJ4,1
OGPS,1
NZST,1
SAST,1
CLST,1
VJ=2,1
BQG;,1
GE2t:,1
wtf,0
GLIBC_2.3.4,0
__imp___errno,0
__nm_program_invocation_short_name,0
_o__crt_atexit,0
_vsnwprintf,0
?what@exception@@UEBAPEBDXZ,0
.idata$6,0
.rdata$zzzdbg,0
.rsrc$01,0
.rsrc$02,0
.note.gnu.property,0
.note.gnu.build-id,0
.eh_frame_hdr,0
.gnu.version_r,0
ia5String,0
ISO-8859-3,0
CP28591,0
CP28599,0
api-ms-win-core-processenvironment-l1-1-0.dll,0
api-ms-win-core-com-l1-1-0.dll,0
appidtel.pdb,0
CKM_SHA_1_HMAC,0
CKM_SHA512_T_KEY_DERIVATION,0
CKM_SEED_CBC_ENCRYPT_DATA,0
CKK_EC_EDWARDS,0
CKA_IBM_NEVER_MODIFIABLE,0
CKA_TRUST_TIME_STAMPING,0
CKA_X2RATCHET_PNS,0
CKR_KEY_CHANGED,0
sha512-hmac,0
sha512-t-hmac,0
sha3-256-rsa-pkcs,0
sha3-512-rsa-pkcs,0
ssl3-md5-mac,0
wtls-client-key-and-mac-derive,0
x2ratchet-hks,0
skipjack-ecb64,0
baton-ecb96,0
rc2-key-gen,0
p11_extract_x509_directory,0
p11_save_open_file_in,0
assuan_begin_confidential,0
Perl_newXS,0
__imp_perl_destruct,0
__imp_GetACP,0
__imp_GetModuleHandleA,0
__imp_error,0
__imp_recv,0
__imp_memset,0
__imp_strstr,0
__imp_unlinkat,0
__imp_getpwnam,0
mbrtowc,0
fcntl,0
gpg_strerror,0
wcslen,0
utf8_to_uchar,0
wcwidth,0
mftk.,0
tfD86t],0
cdeZgii,0
Genu,0
NametKI,0
ContainerId,0
FeatureVariantUsage,0
StartTimeTravelDebugging,0
DeleteScenarioInfo,0
FallbackError,0
CanAddMsaToMsTelemetry = (1 << 5),0
KeepFirst = 0,0
KeepLast = 2,0
"NotSet = 0,",0
state->magic == 9827862,0
Version,0
seed,0
Medium,0
LANG,0
TODAY,0
MONDAY,0
JUNE,0
FEBRUARY,0
(Y-M-D) %s-%02d-%02d,0
"<application xmlns=""urn:schemas-microsoft-com:asm.v3"">",0
        <assemblyIdentity,0
    </security>,0
"    type=""win32""/>",0
"        <requestedExecutionLevel level=""asInvoker""/>",0
"<button foreground=""graytext""/>",0
"<WMPDMCPlaylistButton background=""themeable(dtb(EXPLORER::LISTVIEW, 1, 6), Highlight)""/>",0
<!-- Copyright (c) Microsoft Corporation -->,0
multiple output formats specified,0
string too long,0
Failed,0
message_size,0
attached_attrs,0
default-capshint,0
default-tt-hide,0
allow-emacs-prompt,0
pinentry-,0
no message available,0
no lock available,0
FileVer,0
GatherLogs,0
Sleep,0
CreateSemaphoreW,0
BcdOpenSystemStore,0
GetSystemTimeAsFileTime,0
UnRegisterTypeLib,0
CoTaskMemRealloc,0
RtlLookupFunctionEntry,0
RtlVirtualUnwind,0
TerminateProcess,0
SetupDiOpenDeviceInterfaceW,0
SetupDiDestroyDeviceInfoList,0
ShowWindow,0
FIFTH,0
SIXTH,0
D$8H,1
D$8I,1
D$0L!|$0H,1
D$XH,1
D$`A,1
D$`L,1
D$` ,1
D$^H),1
T$ M,1
T$`L,1
t$8H,1
t$XH,1
t$WH,1
t$ H,1
t$ M,1
t#D9	t,1
t_q1J,1
tEA+,1
txL9,1
t9eH,1
t=eH,1
l$PA,1
l$hH,1
l$hI,1
l$tE3,1
L$PH,1
L$tD,1
L$ 3,1
L#M@I,1
|$X1,1
|$ POSIt,1
\$\D,1
\$ UVWH,1
\$ UVWAVAWH,1
@USVWH,1
A_A^A\_^[],1
0A^A]_,1
h[^_]A\A]A^A_,1
XA_A^A]A\_^][,1
333333333333333333333333333333331,1
#3332,1
TUUUUUUU1,1
UUUUUU,1
FFFfc,1
-LM<X,1
~)I9~0,1
tm=},1
w-H=,1
4`{{,1
4=pu,1
x*fA,1
"0d)%""",1
&)h6,1
<Vw9H,1
A!@@,1
UTF-8,0
%H:%M:%S,0
%Y-%m-%d,0
%2.2x ,0
%8.8x ,0
RSDS,0
RSDSw,0
__IAT_end__,0
spwwwwsssss0UUUUUUUUU77770wwwws77770UUUUUUUUU7ssspw,1
LANG,0
TODAY,0
JUNE,0
FIFTH,0
SIXTH,0
|$ POSIt,1
UTF-8,0
%H:%M:%S,0
%Y-%m-%d,0
%2.2x ,0
%8.8x ,0
RSDS,0
LANG,0
JUNE,0
FIFTH,0
%H:%M:%S,0
%Y-%m-%d,0
RSDS,0
%H:%M:%S,0
RSDS,0
.TeX_,0
eTN|u,0
tsettset,0
6J_NE,0
tde&,0
A_A^A\TOAYOAY(,0
JUNJUNE,0
RSD)D,0
D$8H!RS,0
LANLANGL)ANG,0
gnU,0
R@DS,0
FFTHAUATUTHAUHAUATUWVSH,0
Gnu,0
Mei,0
LFGUVWH,0
F_+ITH,0
